1,45,0
2,55,0
3,65,0
4,75,0
5,85,0
6,95,0
7,105,0
8,115,0
9,125,0
10,135,0
11,45,60
12,55,60
13,65,60
14,75,60
15,85,60
16,95,60
17,105,60
18,115,60
19,125,60
20,135,60
21,45,120
22,55,120
23,65,120
24,75,120
25,85,120
26,95,120
27,105,120
28,115,120
29,125,120
30,135,120
31,45,180
32,55,180
33,65,180
34,75,180
35,85,180
36,95,180
37,105,180
38,115,180
39,125,180
40,135,180
41,45,240
42,55,240
43,65,240
44,75,240
45,85,240
46,95,240
47,105,240
48,115,240
49,125,240
50,135,240
51,45,300
52,55,300
53,65,300
54,75,300
55,85,300
56,95,300
57,105,300
58,115,300
59,125,300
60,135,300
