# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 50, mean observations per image: 2367.46
1 0.57133172957433154 -0.81660326182624077 0.057269012182718286 -0.058816900632070367 0.06691831058771068 -0.067460496226414798 3.7942352583536048 1 IMG_20250507_144447.jpg

2 0.61603289521404159 0.78137561603527006 -0.033474515216036539 0.093995082375406644 0.0038212992141732622 0.27936470712046985 3.8791366990108282 1 IMG_20250507_144459.jpg

3 0.23070171790546706 0.96645255518622797 -0.043070241499694635 0.10436057793360246 -0.034598077411302879 0.15139390785730958 3.9874903235340771 1 IMG_20250507_144456.jpg

4 -0.062870393213185771 0.99225368300901506 -0.041041249535174185 0.09897251158203485 0.084274160340428922 0.11960455360498207 4.0504611091577871 1 IMG_20250507_144453.jpg

5 0.40930292759508469 0.90537467046948072 -0.036230856901334797 0.10702870896431053 -0.025099895976071367 0.17160434474739894 3.9535847385733418 1 IMG_20250507_144457.jpg

6 0.71970658589476533 0.68923045906380076 -0.028499703922732392 0.078559349505453596 0.048899892774562241 0.25583972227421953 3.8349755134870365 1 IMG_20250507_144459~2.jpg

7 -0.25142018094371332 0.96315525978171612 -0.039721197279900984 0.086845061204980367 0.092672695080363174 -0.039761952317510202 3.9974308645759082 1 IMG_20250507_144451.jpg

8 -0.3712645943338943 0.92444315941793342 -0.04519629279886811 0.074328602278781547 0.07238464552150356 -0.044640719403162547 3.9241331820036462 1 IMG_20250507_144449.jpg

9 0.843920773417285 0.53227588704915985 -0.021647213632806656 0.063336453979814841 0.069233163619734195 0.26651497929625334 3.7613549419943064 1 IMG_20250507_144501.jpg

10 0.98555766803485834 0.16755696166417461 -0.0060819850256027957 0.023743568259860806 0.14713874614173025 0.11327709460266526 3.6629367309101837 1 IMG_20250507_144503.jpg

11 0.99999987596450191 1.7165523236801538e-05 -0.0004781610746267733 0.0001383412893918577 0.12230563185152503 -0.019471164434637537 3.6460223993437038 1 IMG_20250507_144504.jpg

12 0.97328580679805199 -0.22767600216760062 0.014409006697813899 -0.025898973887514706 0.15179127900126782 -0.11395109501186045 3.6577619172509905 1 IMG_20250507_144505.jpg

13 0.89622394096364955 -0.44039593024811324 0.026251135853152523 -0.046313606325824069 0.15817930076807374 -0.17192946536764911 3.7180242143078899 1 IMG_20250507_144507.jpg

14 -0.46528531298740605 0.877723694760146 -0.056745896508798577 0.099451477637200927 0.019110815266450101 -0.11587433016199422 3.9673040429297157 2 IMG_20250507_144510.jpg

15 0.68221106697599321 -0.69290809038809131 -0.1487160135211327 -0.17986101771253296 -0.017791957984055865 -0.04970393957565751 3.6973528833248563 2 IMG_20250507_144526.jpg

16 -0.36267999216058361 0.89150273360405508 0.070594126347829841 0.2621117482832136 -0.092522036316214029 -0.011376728378388557 3.7940976625242953 2 IMG_20250507_144524.jpg

17 -0.22868791633910984 0.9278834436396648 0.045119652280099981 0.29102984197156856 -0.16862937653589233 0.035721803223730551 3.7681434620254404 2 IMG_20250507_144522.jpg

18 -0.48705848136315832 0.83442915874626944 0.10601936151535983 0.23507851826588155 -0.048544066034038068 -0.022742145073708375 3.7693828464947967 2 IMG_20250507_144525.jpg

19 0.9642242541124435 0.14542716926963034 -0.19444584025245396 0.10636419241474811 0.054938708829766897 0.13003974460719556 3.5893060843772848 2 IMG_20250507_144533.jpg

20 0.97750228715041909 -0.036257321672139138 -0.19930258354963332 0.058763640385056604 0.060780115086672214 0.11383522442166154 3.5844616079299194 2 IMG_20250507_144531.jpg

21 0.80087311412589945 0.53440336120147247 -0.15382748162798665 0.22215401977646912 0.0028600435433500252 0.19811471402935729 3.6451370182100717 2 IMG_20250507_144536.jpg

22 0.81108882246082203 -0.58065020381131871 0.033740912130607398 -0.061982366376139568 0.1617589573227517 -0.14048639265575918 3.791491849203326 2 IMG_20250507_144508.jpg

23 0.89714453697350693 0.36538549572980172 -0.17160956302312547 0.17937468374297075 0.034830834694125644 0.28326807339949273 3.6309843770442707 2 IMG_20250507_144534.jpg

24 0.90281586490879795 -0.37859906008567007 -0.19353481898033001 -0.064269274256657294 0.035010501003934304 0.074260152574877156 3.6621415257504375 2 IMG_20250507_144529.jpg

25 0.96276860016219379 -0.18176094424495404 -0.19993307835178606 0.0081452973973522285 0.079387839554104181 0.088284198078512482 3.6145456216649414 2 IMG_20250507_144530.jpg

26 0.71613937384977955 0.63758237137166063 -0.13467762574752506 0.2499901079265841 -0.033557872289538521 0.3080730214785542 3.711170291734732 2 IMG_20250507_144537.jpg

27 0.79269182777029712 0.58176785413309506 0.17477858207426161 -0.051364163885631996 -0.21000487249694264 0.24625108419964056 3.7016702677953912 2 IMG_20250507_144554.jpg

